tag3	tag1	script	region	lcid	source
	aa	Latn			cldr
	ab	Cyrl			cldr
abq		Cyrl			cldr
abr		Latn			cldr
ace		Latn			cldr
ach		Latn			cldr
ada		Latn			cldr
ady		Cyrl			cldr
aeb		Arab			cldr
	af	Latn			cldr
agq		Latn			cldr
aii		Syrc			cldr
	ak	Latn			cldr
akz		Latn			cldr
ale		Latn			cldr
aln		Latn			cldr
alt		Cyrl			cldr
	am	Ethi			cldr
amo		Latn			cldr
	an	Latn			cldr
anp		Deva			cldr
aoz		Latn			cldr
apu		Latn			giellatekno
	ar	Arab			cldr
arn		Latn			cldr
aro		Latn			cldr
arp		Latn			cldr
arq		Arab			cldr
ars		Arab			cldr
ary		Arab			cldr
arz		Arab			cldr
	as	Beng			cldr
asa		Latn			cldr
ast		Latn			cldr
atj		Latn			cldr
	av	Cyrl			cldr
awa		Deva			cldr
	ay	Latn			cldr
	az	Latn			cldr
	az	Cyrl			cldr
	az	Arab			cldr
	ba	Cyrl			cldr
bal		Arab			cldr
ban		Latn			cldr
bap		Deva			cldr
bar		Latn			cldr
bas		Latn			cldr
bax		Bamu			cldr
bbc		Latn			cldr
bbj		Latn			cldr
bci		Latn			cldr
	be	Cyrl			cldr
bej		Arab			cldr
bem		Latn			cldr
bew		Latn			cldr
bez		Latn			cldr
bfd		Latn			cldr
bfq		Taml			cldr
bft		Arab			cldr
bfy		Deva			cldr
	bg	Cyrl			cldr
bgc		Deva			cldr
bgn		Arab			cldr
bgx		Grek			cldr
bhb		Deva			cldr
bhi		Deva			cldr
bho		Deva			cldr
	bi	Latn			cldr
bik		Latn			cldr
bin		Latn			cldr
bjj		Deva			cldr
bjn		Latn			cldr
bkm		Latn			cldr
bku		Latn			cldr
bla		Cans			giellatekno
blt		Tavt			cldr
	bm	Nkoo			cldr
	bm	Latn			cldr
bmq		Latn			cldr
	bn	Beng			cldr
	bo	Tibt			cldr
bpy		Beng			cldr
bqi		Arab			cldr
bqv		Latn			cldr
	br	Latn			cldr
bra		Deva			cldr
brh		Arab			cldr
brx		Deva			cldr
	bs	Latn			cldr
	bs	Cyrl			cldr
bss		Latn			cldr
bto		Latn			cldr
btv		Deva			cldr
bua		Cyrl			cldr
buc		Latn			cldr
bug		Latn			cldr
bum		Latn			cldr
bvb		Latn			cldr
byn		Ethi			cldr
byv		Latn			cldr
bze		Latn			cldr
bzx		Latn			cldr
	ca	Latn			cldr
cad		Latn			cldr
car		Latn			cldr
cay		Latn			cldr
cch		Latn			cldr
ccp		Cakm			cldr
ccp		Beng			cldr
	ce	Cyrl			cldr
ceb		Latn			cldr
cgg		Latn			cldr
	ch	Latn			cldr
chk		Latn			cldr
chm		Cyrl			cldr
cho		Latn			cldr
chp		Latn			cldr
chr		Cher			cldr
chy		Latn			cldr
cic		Latn			cldr
cja		Arab			cldr
cjm		Cham			cldr
cjs		Cyrl			cldr
ckb		Arab			cldr
ckt		Cyrl			cldr
	co	Latn			cldr
cps		Latn			cldr
	cr	Latn			cldr
	cr	Cans			cldr
crh		Cyrl			cldr
crj		Latn			giellatekno
crk		Latn			giellatekno
crl		Latn			cldr
crm		Cans			cldr
crs		Latn			cldr
	cs	Latn			cldr
csw		Cans			cldr
ctd		Latn			cldr
	cv	Cyrl			cldr
	cy	Latn			cldr
	da	Latn			cldr
dak		Latn			cldr
dar		Cyrl			cldr
dav		Latn			cldr
dcc		Arab			cldr
	de	Latn			cldr
del		Latn			cldr
den		Latn			cldr
dgr		Latn			cldr
din		Latn			cldr
dje		Latn			cldr
dng		Cyrl			cldr
dnj		Latn			cldr
doi		Arab			cldr
dsb		Latn			cldr
dtm		Latn			cldr
dtp		Latn			cldr
dty		Deva			cldr
dua		Latn			cldr
	dv	Thaa			cldr
dyo		Latn			cldr
dyu		Latn			cldr
	dz	Tibt			cldr
ebu		Latn			cldr
	ee	Latn			cldr
efi		Latn			cldr
egl		Latn			cldr
eka		Latn			cldr
eky		Kali			cldr
	el	Grek			cldr
	en	Latn			cldr
	eo	Latn			cldr
	es	Latn			cldr
ess		Latn			giellatekno
esu		Latn			cldr
	et	Latn			cldr
	eu	Latn			cldr
evn		Cyrl			cldr
ewo		Latn			cldr
ext		Latn			cldr
	fa	Arab			cldr
fan		Latn			cldr
	ff	Latn			cldr
ffm		Latn			cldr
	fi	Latn			cldr
fia		Arab			cldr
fil		Latn			cldr
fit		Latn			cldr
	fj	Latn			cldr
	fo	Latn			cldr
fon		Latn			cldr
	fr	Latn			cldr
fkv		Latn			giellatekno
frc		Latn			cldr
frp		Latn			cldr
frr		Latn			cldr
frs		Latn			cldr
fud		Latn			cldr
fuq		Latn			cldr
fur		Latn			cldr
fuv		Latn			cldr
fvr		Latn			cldr
	fy	Latn			cldr
	ga	Latn			cldr
gaa		Latn			cldr
gag		Latn			cldr
gan		Hans			cldr
gay		Latn			cldr
gba		Latn			cldr
gbm		Deva			cldr
gbz		Arab			cldr
gcr		Latn			cldr
	gd	Latn			cldr
gil		Latn			cldr
gjk		Arab			cldr
gju		Arab			cldr
	gl	Latn			cldr
gld		Cyrl			cldr
glk		Arab			cldr
	gn	Latn			cldr
gom		Deva			cldr
gon		Telu			cldr
gon		Deva			cldr
gor		Latn			cldr
gos		Latn			cldr
grb		Latn			cldr
grt		Beng			cldr
gsw		Latn			cldr
	gu	Gujr			cldr
gub		Latn			cldr
guc		Latn			cldr
gur		Latn			cldr
guz		Latn			cldr
	gv	Latn			cldr
gvr		Deva			cldr
gwi		Latn			cldr
	ha	Latn			cldr
	ha	Arab			cldr
hai		Latn			cldr
hak		Hans			cldr
haw		Latn			cldr
haz		Arab			cldr
hdn		Latn			giellatekno
	he	Hebr			cldr
	hi	Deva			cldr
hif		Latn			cldr
hif		Deva			cldr
hil		Latn			cldr
hmd		Plrd			cldr
hmn		Latn			cldr
hnd		Arab			cldr
hne		Deva			cldr
hnj		Laoo			cldr
hnn		Latn			cldr
hno		Arab			cldr
	ho	Latn			cldr
hoc		Deva			cldr
hoj		Deva			cldr
hop		Latn			cldr
	hr	Latn			cldr
hsb		Latn			cldr
hsn		Hans			cldr
	ht	Latn			cldr
	hu	Latn			cldr
hup		Latn			cldr
	hy	Armn			cldr
	hz	Latn			cldr
iba		Latn			cldr
ibb		Latn			cldr
	id	Latn			cldr
ife		Latn			cldr
	ig	Latn			cldr
	ii	Yiii			cldr
	ik	Latn			cldr
ikt		Latn			cldr
ilo		Latn			cldr
inh		Cyrl			cldr
	is	Latn			cldr
	it	Latn			cldr
	iu	Latn			cldr
izh		Latn			cldr
	ja	Jpan			cldr
jam		Latn			cldr
jgo		Latn			cldr
jmc		Latn			cldr
jml		Deva			cldr
jpr		Hebr			cldr
jrb		Hebr			cldr
	jv	Latn			cldr
	ka	Geor			cldr
kaa		Cyrl			cldr
kab		Latn			cldr
kac		Latn			cldr
kaj		Latn			cldr
kam		Latn			cldr
kao		Latn			cldr
kbd		Cyrl			cldr
kca		Cyrl			cldr
kcg		Latn			cldr
kck		Latn			cldr
kde		Latn			cldr
kdt		Thai			cldr
kea		Latn			cldr
kek		Latn			giellatekno
kfo		Latn			cldr
kfr		Deva			cldr
kfy		Deva			cldr
	kg	Latn			cldr
kge		Latn			cldr
kgp		Latn			cldr
kha		Latn			cldr
khb		Talu			cldr
khk		Cyrl			giellatekno
khn		Deva			cldr
khq		Latn			cldr
kht		Mymr			cldr
khw		Arab			cldr
	ki	Latn			cldr
kio		Latn			giellatekno
kiu		Latn			cldr
	kj	Latn			cldr
kjg		Laoo			cldr
kjh		Cyrl			cldr
	kk	Cyrl			cldr
	kk	Arab			cldr
kkj		Latn			cldr
	kl	Latn			cldr
kln		Latn			cldr
	km	Khmr			cldr
kmb		Latn			cldr
	kn	Knda			cldr
	ko	Kore			cldr
koi		Cyrl			cldr
kok		Deva			cldr
kos		Latn			cldr
kpe		Latn			cldr
kpv		Cyrl			giellatekno
kpy		Cyrl			cldr
	kr	Latn			cldr
krc		Cyrl			cldr
kri		Latn			cldr
krj		Latn			cldr
krl		Latn			cldr
kru		Deva			cldr
	ks	Deva			cldr
	ks	Arab			cldr
ksb		Latn			cldr
ksf		Latn			cldr
ksh		Latn			cldr
	ku	Latn			cldr
	ku	Cyrl			cldr
	ku	Arab			cldr
kum		Cyrl			cldr
kut		Latn			cldr
	kv	Cyrl			cldr
kvr		Latn			cldr
kvx		Arab			cldr
	kw	Latn			cldr
kxm		Thai			cldr
kxp		Arab			cldr
	ky	Latn			cldr
	ky	Cyrl			cldr
	ky	Arab			cldr
kyu		Kali			cldr
lad		Hebr			cldr
lag		Latn			cldr
lah		Arab			cldr
laj		Latn			cldr
lam		Latn			cldr
	lb	Latn			cldr
lbe		Cyrl			cldr
lbw		Latn			cldr
lcp		Thai			cldr
lep		Lepc			cldr
lez		Cyrl			cldr
